entry_id	package	version	section	text	disposition	proof
agent@17.4.0:breaking:1	agent	17.4.0	Breaking Changes	Replaced global token counting functions (`countTokens`, `countTokensConservatively`, `setTokenizerModel`, and `estimateTokens`) with model-scoped, immutable `Tokenizer` instances (`agent.tokenizer`). Use `tokenizer.countTokens(text, mode?)`, `tokenizer.countMessage(message)`, or `tokenizer.countMessages(messages)`.	re-fitted	fork session/advisor code migrated to agent.tokenizer.countMessage(s); countTokens/countTokensConservatively/setTokenizerModel/estimateTokens absent from the tree (grep=0); gates 4+7 green
agent@17.4.0:breaking:2	agent	17.4.0	Breaking Changes	Updated context management functions (`findCutPoint`, `prepareBranchEntries`, `collectShakeRegions`, `pruneToolOutputs`, `pruneSupersededToolResults`, and `trimRemoteCompactionInputToContextWindow`) to require an explicit `Tokenizer` instance.	re-fitted	fork compaction/maintenance callers pass explicit Tokenizer instances (session-advisors #maintainAdvisorContext, agent-session context breakdown); gates 4+7 green
agent@17.4.0:added:1	agent	17.4.0	Added	Added `Tokenizer.checkTokenBudget(text, budget)` to efficiently verify if text fits within a token limit using fast byte-bound checks before falling back to full tokenization.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
agent@17.4.0:added:2	agent	17.4.0	Added	Added provider-anchored transcript token estimation (`findTranscriptUsageAnchor`, `isTranscriptUsageAnchor`, `estimateTranscriptTokens`) to calculate transcript token counts incrementally from the latest reported assistant turn usage.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
agent@17.4.0:added:3	agent	17.4.0	Added	Added `remotePreserveReusable()` to check whether a previous remote compaction payload remains reusable with the active model.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
agent@17.3.5:added:1	agent	17.3.5	Added	Added automatic retry support for transient provider failures during one-shot completions, allowing callers such as compaction to opt in to resilient request handling.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@18.0.6:added:1	ai	18.0.6	Added	Added the `backgroundIdleMs` option to customize how long background auth-broker activity remains active before automatically parking.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@18.0.5:breaking:1	ai	18.0.5	Breaking Changes	Renamed the exported stream-retry helper from `withEmptyCompletionRetry` to `withReplaySafeStreamRetry` and added retry policy options for empty completions and provider errors. Consumers using the old helper must migrate.	not-applicable	no fork caller of withEmptyCompletionRetry (fork gemini provider uses its own fetchWithRetry); one stale comment updated to withReplaySafeStreamRetry in 206751afdc
ai@18.0.5:added:1	ai	18.0.5	Added	Added browser-based Sign in with OpenRouter using OAuth PKCE, while retaining support for pasted OpenRouter API keys and redirect URLs for remote sessions.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@18.0.5:added:2	ai	18.0.5	Added	Added `/login` API-key authentication for DeepInfra and Yolo-Auto, including validation against each provider before the credentials are accepted.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@18.0.1:added:1	ai	18.0.1	Added	Added Amazon Bedrock Converse guardrail configuration with provider-scoped identifier, version, and trace settings.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@18.0.0:added:1	ai	18.0.0	Added	Added reversible private-use glyph tokenization for Claude-compatible provider requests, including prompt notices, streamed response decoding, and safe handling of unresolved model-authored glyph tokens.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
