path	scope	state	head_blob	behavior	classification
.clinerules/caveman.md	fork-only	added	f3bd524ff165	docs: record caveman mode rules and session-system merge note	retained
.config/nextest.toml	shared	modified	b8f284493121	session candidate: OMP-127	retained
.cursor/rules/caveman.mdc	fork-only	added	1b9b92e02ea8	docs: record caveman mode rules and session-system merge note	retained
.gitattributes	shared	modified	1a2c75c61837	docs(omp-156): finalize matrix/changelog proofs, gate results, and whitespace attributes	retained
.github/actionlint.yaml	shared	modified	ea44d87d978b	fix(ci): route non-PR jobs to self-hosted rust runner and fix postgres integration test paths	retained
.github/copilot-instructions.md	fork-only	added	f3bd524ff165	docs: record caveman mode rules and session-system merge note	retained
.github/workflows/ci.yml	shared	modified	a9543373ca69	session candidate: OMP-209; ci: add .github/workflows/** to push and pull_request paths; ci: remove trailing comment from ci.yml; ci: trigger push event workflow run via ssh; ci: add native_addons and native-artifacts to work_ledger_postgres job	retained
.github/workflows/upstream-watch.yml	fork-only	added	ae701bba2667	OMP-229 weekly upstream discovery workflow: finds newest stable release, resolves immutable commit, refreshes tracked review issue	retained
.gitignore	shared	modified	9d4cbea998bc	session candidate: OMP-108; session candidate: OMP-47; session-system v1: canonical home for the Linear/omp session system	retained
.windsurf/rules/caveman.md	fork-only	added	6d18ef51bc64	docs: record caveman mode rules and session-system merge note	retained
.work-project	fork-only	added	7e6b8d33d560	session candidate: HOME-149	retained
AGENTS.md	shared	modified	ca0dfff47d24	docs: record caveman mode rules and session-system merge note	retained
WATCHDOG.yml	fork-only	added	d465f1a99cf7	session close: HOME-137; session close: HOME-130; fix: route watchdog advisor to Terra via authenticated codex provider	retained
bun.lock	shared	modified	d4f12438dcaa	feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	retained
crates/pi-builtins/src/pgrep.rs	shared	modified	873a666ec7d3	session candidate: OMP-127	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	fork-only	added	6568d4b10f3f	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-attachments-0-82baa8dba69aa94f85deaa9054533490b11847669f7bff70c03f99c23d896650.json.gpg	fork-only	added	ef91afe2d1ce	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-comments-0-0460a977034fc5d60f68c5a44623632914747f968c7abbf7df43d4426679b032.json.gpg	fork-only	added	b854294064e3	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-initiativeToProjects-0-cf0ab94399adc54a0b51acd63002b6bb81deaa39b81bc4d96635ca72314c070e.json.gpg	fork-only	added	c77a4a4f57a0	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-initiatives-0-aba446376378c7eacc8705d693d4303adb71228a6cb2a152de250c19c33f3328.json.gpg	fork-only	added	215ffa842455	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issueLabels-0-c25af5e31334ba2776101d23a6de12438e8f0ea7d5951317a96a87cb95751bc0.json.gpg	fork-only	added	6d9db062ac8c	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issueRelations-0-1f75db96d0cdc6d731e40b031ae58fc258368296c7c3d3af79e357f2808ded45.json.gpg	fork-only	added	c7ab03aab51c	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issues-0-5dcf113f82ce4d3921cfa6f25b87194d734a443bef166614ac216731f4c47ac6.json.gpg	fork-only	added	2eebd9aad16e	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projectMilestones-0-25841d5bd28951b7569d8c1ddd7c9c343773513e8b671bb13abe98a38d4270ee.json.gpg	fork-only	added	9e0fc28a1256	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projectUpdates-0-e31c03ad4eb7d2ce629ff4b595ef68b88605fbdf1606dc26df5ffe80183f029c.json.gpg	fork-only	added	f3bb0eb4c153	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projects-0-9e5802fd0f751063f3ed5adfc79cfafaaffb33d8832d31248686e5be4574e5aa.json.gpg	fork-only	added	3daf346560eb	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-teams-0-1820149de12392ed153b92f598db40120d575e8fffb8cbf11da96e603a9967e7.json.gpg	fork-only	added	b9b37894f9f9	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-workflowStates-0-fcadda8c16735fdca0bd3c04a853fb01ca7bb882fc8d8c6d096e414260a9a649.json.gpg	fork-only	added	a5b3c9913732	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/manifest-4ea70db806de4fb0a5cf62da25e7465399d2eb2160e72f08d3ae05ce6ff3d9d1.json.gpg	fork-only	added	9551c1ef5443	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/privacy-report-b38b66b418fb129209f1c8a1a226eb2a15c5a021f5227644fb5e6597a02333e4.json.gpg	fork-only	added	19bae2b3c2cf	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/scope-report-24da03b4131572907f1cec73b9141ac214b8ac1cb337edae2d16098cd2cb7aa4.json.gpg	fork-only	added	2336c02c4928	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/source-hashes-08826c0c8248bb5048b78068a1f6d5823a68c9dcda3d1350d624632c8a1dace1.json.gpg	fork-only	added	46f53969cbc1	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	fork-only	added	93f885e71d98	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-attachments-0-cf94ef6b31dcd73d2e6157772d91df43a6a34226e526eba69c5f7b06a0b7b129.json.gpg	fork-only	added	a4576d3579ae	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-comments-0-ac7f801fc8d461a39b5f830496f65c9d6edd144da21b0164649e04d7ef69a7e2.json.gpg	fork-only	added	3cf05a425d1f	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-initiativeToProjects-0-8cc08a312d899cdc05f56829ffb96353beb09f8ea673d363253b2aaac218906d.json.gpg	fork-only	added	84171bb78f5e	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-initiatives-0-5202a87396ffe34612fb8d4bf76663bf684ba8641a64e9f65675fb33ff2bafee.json.gpg	fork-only	added	80a850d06a04	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-issueLabels-0-3f3fd6a09f85340be09acb053863f26ad4a26740eacf2e0cc2ac844576d8478e.json.gpg	fork-only	added	9b8e06736520	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-issueRelations-0-f46b6419c933f96e75ae15ebe33140749ec3fe4ca149a2f63678fb2878dfcc8e.json.gpg	fork-only	added	4d0422320732	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-issues-0-a0edcb0151046905570fa2ee26f9577173cc7d2334594f672b5d214a6e45a3f2.json.gpg	fork-only	added	a318b5295894	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-projectMilestones-0-a9121db79c36d1c201d72d1566ff613fefb4f152f52694df136f424bf3b058cd.json.gpg	fork-only	added	0a83355e2466	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-projectUpdates-0-30116fcc4e369faade7b3efaff36e94946e5087b8026b52af0127d3493909e1a.json.gpg	fork-only	added	64147b5cc09a	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-projects-0-055a9c1a845c34c43f0d0e7c031e70701aafec8d369fe4122687d0453b9c9012.json.gpg	fork-only	added	28900091c5c9	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-teams-0-2729caf2460169de901f54a08cae538064535040984541c76ddfd5af359e33dd.json.gpg	fork-only	added	f2f8de2c655e	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-workflowStates-0-6e16344a4dc03c2a1c5ce774df0e620cff004661216008c36d0b72b5fde9cfa7.json.gpg	fork-only	added	9117107d0ecd	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/manifest-f3f84e1088d336e67d8b57f110b33c1293fc4658fab962d1df8b32a0439cab5a.json.gpg	fork-only	added	c4db66e4d083	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/privacy-report-b38b66b418fb129209f1c8a1a226eb2a15c5a021f5227644fb5e6597a02333e4.json.gpg	fork-only	added	ca6f956adbee	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/scope-report-24da03b4131572907f1cec73b9141ac214b8ac1cb337edae2d16098cd2cb7aa4.json.gpg	fork-only	added	31306dbd35fd	fix(session): HOME-149 audit remediation	retained
data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/source-hashes-08826c0c8248bb5048b78068a1f6d5823a68c9dcda3d1350d624632c8a1dace1.json.gpg	fork-only	added	a2b0c818ac8c	fix(session): HOME-149 audit remediation	retained
data/linear-export/f6cba355-c75a-4235-8888-13cb6b2ecd32/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	fork-only	added	3266b07359d4	fix(session): HOME-149 audit remediation	retained
data/linear-export/f6cba355-c75a-4235-8888-13cb6b2ecd32/baseline-attachments-0-149a51b759ebaffd7b234054b2b8253ebf72dd900669b2d6dc5855f1f1af4fc7.json.gpg	fork-only	added	c4da4387c2ae	fix(session): HOME-149 audit remediation	retained
data/linear-export/f6cba355-c75a-4235-8888-13cb6b2ecd32/baseline-comments-0-65b5ac635fdecc3d0f9bc43cd7cf815afc12034fbe47f5358062020c144489bf.json.gpg	fork-only	added	7f053fa03e09	fix(session): HOME-149 audit remediation	retained
data/linear-export/f6cba355-c75a-4235-8888-13cb6b2ecd32/baseline-comments-1-b68428a4c49def7dff3609752d44b729f677bebe73dc89ea764d81707d90362d.json.gpg	fork-only	added	4b9966b9988c	fix(session): HOME-149 audit remediation	retained
data/linear-export/f6cba355-c75a-4235-8888-13cb6b2ecd32/baseline-comments-2-f3be8e9dba966b9f3f8d512d2b10ef9d56577d91d0333611507bfabec936843d.json.gpg	fork-only	added	f1957017ee68	fix(session): HOME-149 audit remediation	retained
