path	scope	state	head_blob	behavior	classification
.clinerules/caveman.md	fork-only	added	f3bd524ff165	docs: record caveman mode rules and session-system merge note	retained
.codacy.yml	fork-only	added	a2ee9dec508f	codacy-skip-tests: exclude test and fixture paths from PR reviews (owner ruling 2026-09-26)	retained
.config/nextest.toml	shared	modified	b8f284493121	session candidate: OMP-127	retained
.cursor/rules/caveman.mdc	fork-only	added	5aac1d5946f8	docs: record caveman mode rules and session-system merge note; OMP-243: Keep optional Cursor style rule out of automatic OMP context	retained
.gitattributes	shared	modified	8d588d023059	docs(omp-156): finalize matrix/changelog proofs, gate results, and whitespace attributes; OMP-303: declare merge=union for python/omp-work/CHANGELOG.md and docs/upstream-fork-inventory.tsv	retained
.github/actionlint.yaml	shared	modified	ea44d87d978b	fix(ci): route non-PR jobs to self-hosted rust runner and fix postgres integration test paths	retained
.github/copilot-instructions.md	fork-only	added	05855d3dc7c9	docs: record caveman mode rules and session-system merge note; OMP-243: Scope Copilot style to its suggestion surfaces	retained
.github/workflows/ci.yml	shared	modified	325c38633af3	session candidate: OMP-209; ci: add .github/workflows/** to push and pull_request paths; ci: remove trailing comment from ci.yml; ci: trigger push event workflow run via ssh; ci: add native_addons and native-artifacts to work_ledger_postgres job; OMP-249: retain full installed qualification manifest and JUnit evidence; OMP-246: Retain task crash journals, provider observations and process evidence; OMP-246: Retain actual authority-response and completed-child output fault evidence; OMP-246: Retain first-run cut journals, reader diagnostics and disposable runtime process logs; OMP-246: Retain child-read cut and first resumed request boundary evidence; OMP-233 AC1: Qualify actual owner-session admission and preserve two-CLI/output evidence with isolated GitHub adapter and disabled test core dumps; OMP-263: describe PR-first release branch workflow — release_metadata now resolves and validates the post-merge `v*` tag push (release.ts publish), not an atomic branch+tag push, with concurrency grouped per-sha for tag-ref/version-bump-main/manual-dispatch runs; OMP-284: remove egg-info restore from isolated installed runtime staging; OMP-335-s03: add a nightly cron schedule with a nightly-<ref> concurrency group so scheduled runs never cancel or are cancelled by main pushes, skip release tag detection on schedule, select installed qualification subset/full pytest targets through scripts/installed-qualification-mode.ts (release always full, fallback to full on unavailable diffs) and run `pytest -n 3`, and split controller fault/effect evidence into a separate installed-runtime-evidence artifact uploaded only on failed or full-mode runs; OMP-295: in the check job, run the approval-provenance guard on pull_request directly after bun-install and before the upstream guardrail (unshallow the origin base branch, then `bun scripts/approval-provenance.ts --base origin/<base_ref>`) so an approval.json change outside owner approval commits fails before later fetches rewrite history	retained
.github/workflows/upstream-watch.yml	fork-only	added	ae701bba2667	OMP-229 weekly upstream discovery workflow: finds newest stable release, resolves immutable commit, refreshes tracked review issue	retained
.gitignore	shared	modified	5766654da9b8	session candidate: OMP-108; session candidate: OMP-47; session-system v1: canonical home for the Linear/omp session system; OMP-284: ignore omp_work.egg-info build artifacts (untracked)	retained
.windsurf/rules/caveman.md	fork-only	added	6d18ef51bc64	docs: record caveman mode rules and session-system merge note	retained
.work-project	fork-only	added	7e6b8d33d560	session candidate: HOME-149	retained
AGENTS.md	shared	modified	fceedf0cafc7	docs: record caveman mode rules and session-system merge note; mandatory Antidote prerequisite for all new work	retained
CONTEXT.md	fork-only	added	ace75671a0a9	OMP-325: shared domain vocabulary for autonomous work execution, experiment lifecycle, and qualification governance; copied byte-identical from /home/thetu/oh-my-pi/CONTEXT.md	retained
MASTER.md	fork-only	added	6e1737e515d5	OMP-325: repo master programme specification and historical checkpoint/status tracker; copied byte-identical from /home/thetu/oh-my-pi/MASTER.md	retained
NOTES-EXTERNAL.md	fork-only	added	1427122dfbe0	OMP-270: record pending OMP-270 expected-revision description-only mutation against r2 a6014b0d-6886-57a5-82ab-405a5e04bd5c, including exact target bytes, refusal/readback requirements and explicit no-runtime/no-qualification boundaries; OMP-297: record external flood pre-batch test gate update for installed runtime staging and qualification; OMP-285: record external flood task plan updates and unpark instructions for OMP-219 and OMP-283 staged digest flow; Records pending OMP-269 expected-revision description-only mutation against r2 c56247d2-4aa5-5600-81c5-7a2c9b9f3436, including exact target bytes, refusal/readback requirements and explicit no-runtime/no-qualification boundaries; retains completed OMP-268 r3 exact-readback evidence; no external mutation or runtime admission claimed; OMP-336: record external flood dashboard status-board readability rules in /home/thetu/flood/dashboard_words.py (tag names the unit and stays unique per figure, text names the unit, figures stay single numbers) with the in-place selftest and refreshed-page evidence	retained
OMP_Astra_Handoff_Generator_Prompt.md	fork-only	added	4f68848cb07e	OMP-325: Astra implementation handoff generator brief and prompt; copied byte-identical from /home/thetu/oh-my-pi/OMP_Astra_Handoff_Generator_Prompt.md	retained
OMP_Codex_Implementation_Kickoff.md	fork-only	added	136bcd432011	OMP-325: Codex implementation kickoff and native goal specification; copied byte-identical from /home/thetu/oh-my-pi/OMP_Codex_Implementation_Kickoff.md	retained
OMP_Product_Platform_Review_2026-09-18.md	fork-only	added	7867ec62f1f0	OMP-325: product and platform review report; copied byte-identical from /home/thetu/oh-my-pi/OMP_Product_Platform_Review_2026-09-18.md	retained
OMP_Roadmap_Completion_Review_Prompt.md	fork-only	added	344c9c870548	OMP-325: roadmap completion review and continuation goal audit prompt; copied byte-identical from /home/thetu/oh-my-pi/OMP_Roadmap_Completion_Review_Prompt.md	retained
WATCHDOG.yml	fork-only	added	d465f1a99cf7	session close: HOME-137; session close: HOME-130; fix: route watchdog advisor to Terra via authenticated codex provider	retained
bun.lock	shared	modified	d4f12438dcaa	feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	retained
crates/pi-builtins/src/pgrep.rs	shared	modified	873a666ec7d3	session candidate: OMP-127	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	fork-only	added	6568d4b10f3f	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-attachments-0-82baa8dba69aa94f85deaa9054533490b11847669f7bff70c03f99c23d896650.json.gpg	fork-only	added	ef91afe2d1ce	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-comments-0-0460a977034fc5d60f68c5a44623632914747f968c7abbf7df43d4426679b032.json.gpg	fork-only	added	b854294064e3	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-initiativeToProjects-0-cf0ab94399adc54a0b51acd63002b6bb81deaa39b81bc4d96635ca72314c070e.json.gpg	fork-only	added	c77a4a4f57a0	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-initiatives-0-aba446376378c7eacc8705d693d4303adb71228a6cb2a152de250c19c33f3328.json.gpg	fork-only	added	215ffa842455	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issueLabels-0-c25af5e31334ba2776101d23a6de12438e8f0ea7d5951317a96a87cb95751bc0.json.gpg	fork-only	added	6d9db062ac8c	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issueRelations-0-1f75db96d0cdc6d731e40b031ae58fc258368296c7c3d3af79e357f2808ded45.json.gpg	fork-only	added	c7ab03aab51c	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issues-0-5dcf113f82ce4d3921cfa6f25b87194d734a443bef166614ac216731f4c47ac6.json.gpg	fork-only	added	2eebd9aad16e	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projectMilestones-0-25841d5bd28951b7569d8c1ddd7c9c343773513e8b671bb13abe98a38d4270ee.json.gpg	fork-only	added	9e0fc28a1256	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projectUpdates-0-e31c03ad4eb7d2ce629ff4b595ef68b88605fbdf1606dc26df5ffe80183f029c.json.gpg	fork-only	added	f3bb0eb4c153	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projects-0-9e5802fd0f751063f3ed5adfc79cfafaaffb33d8832d31248686e5be4574e5aa.json.gpg	fork-only	added	3daf346560eb	fix(session): HOME-149 audit remediation	retained
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-teams-0-1820149de12392ed153b92f598db40120d575e8fffb8cbf11da96e603a9967e7.json.gpg	fork-only	added	b9b37894f9f9	fix(session): HOME-149 audit remediation	retained
