surface_id	path	scope	source_ids	fork_behavior	upstream_change	classification	resolution	proof
.clinerules/caveman.md	.clinerules/caveman.md	fork-only	s24299b299011	docs: record caveman mode rules and session-system merge note	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- .clinerules/caveman.md is empty (path byte-identical to frozen main)
.config/nextest.toml	.config/nextest.toml	shared	sb3a3271b562a	session candidate: OMP-127	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Union upstream default/CI failure output, fail-fast, retry, and slow-timeout settings with fork OMP-127 jobspec process-group kill override; keep the override as an additional profile.default rule.	gate 10 pass: cargo nextest run --workspace --exclude brush-core (see handoff §Gate results)
.cursor/rules/caveman.mdc	.cursor/rules/caveman.mdc	fork-only	s3efabbcbf058	docs: record caveman mode rules and session-system merge note	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- .cursor/rules/caveman.mdc is empty (path byte-identical to frozen main)
.github/copilot-instructions.md	.github/copilot-instructions.md	fork-only	sb520ed578ff7	docs: record caveman mode rules and session-system merge note	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- .github/copilot-instructions.md is empty (path byte-identical to frozen main)
.github/workflows/ci.yml	.github/workflows/ci.yml	shared	s55b507004094,s470f96b9da22,sdf388aaed453	session candidate: OMP-21; feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	re-fitted	Fork replaces upstream's partial `bun test scripts/ci-test-ts.test.ts scripts/release.test.ts` workaround with the full `bun run test:scripts` group inside upstream's revised workflow	bun run test:scripts green on candidate (gate 8); workflow text carries the fork invocation
.gitignore	.gitignore	shared	sa5fc7daa0357,sce7c41948cac	session candidate: OMP-108; session candidate: OMP-47; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'; session-system v1: canonical home for the Linear/omp session system	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
.windsurf/rules/caveman.md	.windsurf/rules/caveman.md	fork-only	sffe6a133fad2	docs: record caveman mode rules and session-system merge note	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- .windsurf/rules/caveman.md is empty (path byte-identical to frozen main)
.work-project	.work-project	fork-only	se75f97efce9b	session candidate: HOME-149	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- .work-project is empty (path byte-identical to frozen main)
AGENTS.md	AGENTS.md	shared	s1103f76c4c1b	docs: record caveman mode rules and session-system merge note; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
WATCHDOG.yml	WATCHDOG.yml	fork-only	s5dbec56f8d40	session close: HOME-137; session close: HOME-130; fix: route watchdog advisor to Terra via authenticated codex provider	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- WATCHDOG.yml is empty (path byte-identical to frozen main)
bun.lock	bun.lock	shared	sff7bcc352748,sa4dda95f56e4	feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
crates/pi-builtins/src/pgrep.rs	crates/pi-builtins/src/pgrep.rs	fork-only	s69da6629a541	session candidate: OMP-127; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- crates/pi-builtins/src/pgrep.rs is empty (path byte-identical to frozen main)
data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	fork-only	sa45617ea45f3	fix(session): HOME-149 audit remediation	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg is empty (path byte-identical to frozen main)
